antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'herb & pepper'}),frozenset({'ground beef'}),0.049466666666666666,0.09826666666666667,0.016,0.3234501347708895,3.2915549671393096,1.0,0.011139075555555555,1.332840903054449,0.7324227334361996,0.12145748987854253,0.24972290563088445,0.24313619357269034
"frozenset({'mineral water', 'spaghetti'})",frozenset({'ground beef'}),0.05973333333333333,0.09826666666666667,0.017066666666666667,0.28571428571428575,2.907540220973057,1.0,0.011196871111111112,1.2624266666666668,0.6977453204764607,0.12109744560075687,0.2078747808453561,0.22969567745687153
frozenset({'tomatoes'}),frozenset({'frozen vegetables'}),0.0684,0.09533333333333334,0.016133333333333333,0.23586744639376217,2.4741340530814213,1.0,0.009612533333333333,1.1839132653061224,0.6395643858074086,0.1093044263775971,0.15534352954358385,0.2025491078122657
frozenset({'shrimp'}),frozenset({'frozen vegetables'}),0.07133333333333333,0.09533333333333334,0.016666666666666666,0.2336448598130841,2.4508202078295533,1.0,0.00986622222222222,1.1804796747967479,0.6374443646805454,0.11111111111111109,0.15288672787002663,0.20423501731912946
"frozenset({'mineral water', 'milk'})",frozenset({'frozen vegetables'}),0.048,0.09533333333333334,0.011066666666666667,0.23055555555555557,2.4184149184149186,1.0,0.006490666666666667,1.175740072202166,0.6160777564037664,0.08366935483870969,0.14947187423237537,0.1733197358197358
"frozenset({'mineral water', 'ground beef'})",frozenset({'spaghetti'}),0.040933333333333335,0.17413333333333333,0.017066666666666667,0.4169381107491857,2.3943612791875135,1.0,0.00993880888888889,1.416430540037244,0.6072070937022105,0.0861952861952862,0.2939999726540027,0.2574736495552973
"frozenset({'mineral water', 'frozen vegetables'})",frozenset({'milk'}),0.03573333333333333,0.1296,0.011066666666666667,0.30970149253731344,2.3896720103187765,1.0,0.006435626666666668,1.2609037837837838,0.6030826847211858,0.07173725151253242,0.20691807506584722,0.19754621951968554
"frozenset({'mineral water', 'milk'})",frozenset({'ground beef'}),0.048,0.09826666666666667,0.011066666666666667,0.23055555555555557,2.346223428312981,1.0,0.006349866666666667,1.171927797833935,0.6027133745064291,0.08185404339250495,0.14670511114396967,0.1715871400572893
frozenset({'soup'}),frozenset({'milk'}),0.05053333333333333,0.1296,0.0152,0.3007915567282322,2.320922505619076,1.0,0.00865088,1.2448362264150945,0.5994279336876104,0.0921584478577203,0.19668147602048738,0.2090377536727581
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09826666666666667,0.17413333333333333,0.0392,0.39891451831750335,2.2908567284695827,1.0,0.022088497777777775,1.3739587659894656,0.6248877193935388,0.16809605488850773,0.27217612001635055,0.3120146864175572
